benchmark,controller,seed,success_rate,success_std,path_length,collision_rate,latency_ms,mode_coverage,n_episodes
reaching_cluttered,Collision-Free MPC,2,1.0,0.0,5.450586374884982,0.21862745098039219,132.55485566272066,0.0,10
reaching_cluttered,Collision-Free MPC,42,1.0,0.0,5.50842817430874,0.1931372549019608,123.55596329294012,0.0,10
reaching_cluttered,Collision-Free MPC,123,1.0,0.0,5.610342951321623,0.18104575163398692,145.27461838100433,0.0,10
reaching_cluttered,Diffusion Warm-Start MPC,0,1.0,0.0,5.481140737755535,0.2111111111111111,111.7630822299462,0.0,10
reaching_cluttered,Diffusion Warm-Start MPC,1,1.0,0.0,5.442577792726829,0.21862745098039213,117.17658678185364,0.0,10
reaching_cluttered,Diffusion Warm-Start MPC,2,1.0,0.0,5.512192813153037,0.188562091503268,105.9529286121426,0.0,10
reaching_cluttered,Diffusion Warm-Start MPC,42,1.0,0.0,5.53405156154302,0.2,166.20806497004295,0.0,10
reaching_cluttered,Diffusion Warm-Start MPC,123,1.0,0.0,5.515393317691521,0.19607843137254904,105.54993014335268,0.0,10
reaching_cluttered,MIP (standalone),0,0.4,0.4898979485566356,135.34406828264088,0.09817307692307693,0.006852934692198267,0.0,10
reaching_cluttered,MIP (standalone),1,0.1,0.30000000000000004,199.68725115892718,0.040535714285714286,0.006892435111305011,0.0,10
reaching_cluttered,MIP (standalone),2,0.6,0.48989794855663565,92.11538727027812,0.11414835164835165,0.007047273920961543,0.0,10
reaching_cluttered,MIP (standalone),42,0.2,0.4000000000000001,178.44936830276575,0.061964285714285715,0.007679615934778538,0.0,10
reaching_cluttered,MIP (standalone),123,0.2,0.4000000000000001,178.42471158184478,0.06950549450549451,0.006883547338785011,0.0,10
reaching_cluttered,DDPM Policy,0,0.0,0.0,5.286559380027416,0.06,10.369248852948656,0.0,10
reaching_cluttered,DDPM Policy,1,0.0,0.0,5.568722693674963,0.01125,10.588334690837655,0.0,10
reaching_cluttered,DDPM Policy,2,0.0,0.0,7.504044456415689,0.0225,10.73674487095559,0.0,10
reaching_cluttered,DDPM Policy,42,0.0,0.0,6.871792476921717,0.005,10.386716976354366,0.0,10
reaching_cluttered,DDPM Policy,123,0.0,0.0,6.931139846336123,0.034999999999999996,10.388999940769281,0.0,10
reaching_cluttered,Flow Matching Policy,0,0.3,0.45825756949558394,106.41477394321676,0.07586134453781512,9.554088645394083,0.0,10
reaching_cluttered,Flow Matching Policy,1,0.2,0.4000000000000001,119.05933041483256,0.07767857142857143,9.72549031574523,0.0,10
reaching_cluttered,Flow Matching Policy,2,0.0,0.0,156.0620497093073,0.033749999999999995,9.85754880006425,0.0,10
reaching_cluttered,Flow Matching Policy,42,0.1,0.30000000000000004,132.85236324041625,0.06,9.562897012801841,0.0,10
reaching_cluttered,Flow Matching Policy,123,0.2,0.4000000000000001,123.52996782886507,0.0775,9.544052114263954,0.0,10
reaching_cluttered,Regression Policy,0,0.0,0.0,221.21295013563113,0.03250000000000001,0.07608722487930207,0.0,10
reaching_cluttered,Regression Policy,1,0.1,0.30000000000000004,199.71918852818598,0.045535714285714284,0.07626294964990978,0.0,10
reaching_cluttered,Regression Policy,2,0.2,0.4000000000000001,178.05489519939482,0.06696428571428571,0.07819601604881297,0.0,10
reaching_cluttered,Regression Policy,42,0.1,0.30000000000000004,199.439175174046,0.05307692307692308,0.07610173689989516,0.0,10
reaching_cluttered,Regression Policy,123,0.2,0.4000000000000001,177.93260114478176,0.07130494505494506,0.0757663915059171,0.0,10
reaching_cluttered,Iterative Regression Policy,0,0.4,0.4898979485566356,136.26048082621963,0.10711538461538461,0.230733441578475,0.0,10
reaching_cluttered,Iterative Regression Policy,1,0.3,0.45825756949558394,158.0519306763552,0.10961538461538463,0.23174746172466815,0.0,10
reaching_cluttered,Iterative Regression Policy,2,0.4,0.4898979485566356,136.2629780665243,0.09423076923076924,0.2333890120140635,0.0,10
reaching_cluttered,Iterative Regression Policy,42,0.3,0.45825756949558405,158.04812224442475,0.09817307692307693,0.2299225324979768,0.0,10
reaching_cluttered,Iterative Regression Policy,123,0.3,0.45825756949558405,158.048750184634,0.08778846153846154,0.2297483575127374,0.0,10
